ticker,source_etf,country_code,region,section,weight,shares,price,shares_corrected,market_cap_corrected
4063,WLS,JT,,Materials,0.058246,1845.536,5020.0,1845536.0,9264590720.0
GLEN,WLS,LN,,Materials,0.048299,10695.437,354.5,10695437.0,3791532416.5
AAL,WLS,LN,,Materials,0.044148,1175.589,2948.0,1175589.0,3465636372.0
GFI,WLS,SJ,,Materials,0.033113,865.277,68705.0,865277.0,59448856285.0
ANG,WLS,SJ,,Materials,0.032825,483.248,121949.0,483248.0,58931610352.0
5401,WLS,JT,,Materials,0.018276,4849.08,599.5,4849080.0,2907023460.0
6988,WLS,JT,,Materials,0.01633,675.89,3843.0,675890.0,2597445270.0
UTCEM,WLS,IS,,Materials,0.014822,111.619,12281.0,111619.0,1370792939.0
VAL,WLS,SJ,,Materials,0.014246,222.39,115004.0,222390.0,25575739560.0
TATA,WLS,IS,,Materials,0.013863,7374.158,173.86,7374158.0,1282071109.88
APNT,WLS,IS,,Materials,0.011882,469.564,2340.2,469564.0,1098873672.8
005490,WLS,KP,,Materials,0.011777,66.339,263000.0,66339.0,17447157000.0
HNDL,WLS,IS,,Materials,0.010954,1308.924,773.95,1308924.0,1013041729.8000001
IMP,WLS,SJ,,Materials,0.010502,887.28,21250.0,887280.0,18854700000.0
TPIA,WLS,IJ,,Materials,0.010407,22219.727,8100.0,22219727.0,179979788700.0
3407,WLS,JT,,Materials,0.009467,1270.698,1185.0,1270698.0,1505777130.0
3402,WLS,JT,,Materials,0.008584,1445.054,944.9,1445054.0,1365431524.6
5713,WLS,JT,,Materials,0.007664,242.939,5018.0,242939.0,1219067902.0
051910,WLS,KP,,Materials,0.007557,40.128,279000.0,40128.0,11195712000.0
5016,WLS,JT,,Materials,0.007069,534.934,2102.0,534934.0,1124431268.0
4188,WLS,JT,,Materials,0.006885,1332.121,822.1,1332121.0,1095136674.1000001
5411,WLS,JT,,Materials,0.006664,594.988,1781.5,594988.0,1059971122.0
HAR,WLS,SJ,,Materials,0.006555,374.873,31392.0,374873.0,11768013216.0
BRPT,WLS,IJ,,Materials,0.006554,26481.441,4280.0,26481441.0,113340567480.0
4004,WLS,JT,,Materials,0.006528,177.833,5839.0,177833.0,1038366887.0
NPH,WLS,SJ,,Materials,0.006171,388.444,28521.0,388444.0,11078811324.0
AMMN,WLS,IJ,,Materials,0.005532,12928.913,7400.0,12928913.0,95673956200.0
ICL,WLS,IT,,Materials,0.004643,723.117,2180.0,723117.0,1576395060.0
SSW,WLS,SJ,,Materials,0.004468,1673.227,4794.0,1673227.0,8021450238.0
010130,WLS,KP,,Materials,0.00433,6.648,965000.0,6648.0,6415320000.0
SQM/B,WLS,CC,,Materials,0.003477,82.98,41448.0,82980.0,3439355040.0
BRMS,WLS,IJ,,Materials,0.003264,60061.156,940.0,60061156.0,56457486640.0
SOL,WLS,SJ,,Materials,0.003217,571.288,10109.0,571288.0,5775150392.0
009830,WLS,KP,,Materials,0.001779,93.454,28200.0,93454.0,2635402800.0
MDKA,WLS,IJ,,Materials,0.001661,12123.173,2370.0,12123173.0,28731920010.0
ANTM,WLS,IJ,,Materials,0.001607,8398.252,3310.0,8398252.0,27798214120.0
CEMARGOS,WLS,CX,,Materials,0.001594,616.456,10480.0,616456.0,6460458880.0
004020,WLS,KP,,Materials,0.001529,69.582,32550.0,69582.0,2264894100.0
CMPC,WLS,CC,,Materials,0.00148,1143.762,1280.0,1143762.0,1464015360.0
GRUPOARG,WLS,CX,,Materials,0.001432,327.816,17700.0,327816.0,5802343200.0
002380,WLS,KP,,Materials,0.001309,5.043,384500.0,5043.0,1939033500.0
103140,WLS,KP,,Materials,0.001208,14.321,125000.0,14321.0,1790125000.0
011790,WLS,KP,,Materials,0.00117,16.647,104100.0,16647.0,1732952700.0
014680,WLS,KP,,Materials,0.001164,7.733,223000.0,7733.0,1724459000.0
ARI,WLS,SJ,,Materials,0.001142,110.931,18484.0,110931.0,2050448604.0
DRD,WLS,SJ,,Materials,0.001138,415.622,4916.0,415622.0,2043197752.0
