ticker,source_etf,country_code,region,section,weight,shares,price
5233,WLS,JT,,Materials,0.002637,108.564,3864.0
SIIG,WLS,AB,,Materials,0.00263,552.984,18.6
FVI,WLS,CT,,Materials,0.002614,304.16,12.56
600176,WLS,C1,,Materials,0.002602,1120.878284,17.24
4088,WLS,JT,,Materials,0.002571,196.941,2076.5
1102,WLS,TT,,Materials,0.002568,2204.174,37.15
4613,WLS,JT,,Materials,0.002555,164.761,2466.5
002709,WLS,C2,,Materials,0.00255,536.016362,35.32
600673,WLS,C1,,Materials,0.002525,842.675417,22.25
002648,WLS,C2,,Materials,0.002509,943.220793,19.75
NDA,WLS,GY,,Materials,0.002472,18.931,117.7
NMDC,WLS,IS,,Materials,0.00247,2961.144,77.13
000975,WLS,C2,,Materials,0.002463,777.482236,23.52
000301,WLS,C2,,Materials,0.002444,1829.841,9.92
KEMIRA,WLS,FH,,Materials,0.002443,115.896,19.0
000426,WLS,C2,,Materials,0.00243,497.178007,36.3
MTRN,WLS,UN,,Materials,0.002427,20.185,125.34
MX,WLS,CT,,Materials,0.002424,66.785,53.05
YANSAB,WLS,AB,,Materials,0.002419,275.613,34.32
IGO,WLS,AT,,Materials,0.002383,707.173,5.36
4203,WLS,JT,,Materials,0.002351,75.567,4948.0
SMG,WLS,UN,,Materials,0.00235,42.405,57.77
1258,WLS,HK,,Materials,0.00235,1302.036,14.64
5901,WLS,JT,,Materials,0.002344,113.716,3279.0
BRGR,WLS,IS,,Materials,0.002335,403.467,535.35
5711,WLS,JT,,Materials,0.002321,128.788,2867.0
GOR,WLS,AT,,Materials,0.002311,1056.291,3.48
KTY,WLS,PW,,Materials,0.002273,9.823,888.0
EREGL,WLS,TI,,Materials,0.002273,3532.035,28.06
5444,WLS,JT,,Materials,0.002254,37.583,9539.0
2027,WLS,TT,,Materials,0.002248,1856.618841,38.6
WDO,WLS,CT,,Materials,0.002239,150.929,21.68
NGEX,WLS,CT,,Materials,0.002235,128.227,25.47
603659,WLS,C1,,Materials,0.002233,598.406304,27.71
PCT,WLS,UR,,Materials,0.002233,160.525,14.5
OLA,WLS,CT,,Materials,0.002233,214.939,15.18
SDF,WLS,GY,,Materials,0.002228,170.471,11.78
CG,WLS,CT,,Materials,0.00221,205.795,15.69
PAF,WLS,LN,,Materials,0.0022,1967.207,87.8
000831,WLS,C2,,Materials,0.002188,297.141827,54.67
DSV,WLS,CT,,Materials,0.002181,607.175,5.25
3323,WLS,HK,,Materials,0.002178,3088.918,5.72
600426,WLS,C1,,Materials,0.002163,594.5016,27.02
WGX,WLS,AT,,Materials,0.00216,645.852,5.32
SEA,WLS,CT,,Materials,0.002153,93.705,33.58
601168,WLS,C1,,Materials,0.002145,667.24,23.87
002080,WLS,C2,,Materials,0.002141,469.874602,33.84
600143,WLS,C1,,Materials,0.002116,738.251556,21.28
ACX,WLS,SQ,,Materials,0.002112,156.172,12.19
EDR,WLS,CT,,Materials,0.002104,289.001,10.64
ASH,WLS,UN,,Materials,0.002101,45.16,48.5
HILS,WLS,LN,,Materials,0.002082,77.449,2110.0
002532,WLS,C2,,Materials,0.002072,1302.527918,11.81
SAIL,WLS,IS,,Materials,0.002066,1445.378,132.17
SOLB,WLS,BB,,Materials,0.002059,69.613,26.66
HPOLB,WLS,SS,,Materials,0.002044,242.216,83.75
VID,WLS,SQ,,Materials,0.002031,20.59,88.9
APPC,WLS,AB,,Materials,0.002026,223.15,35.5
ERO,WLS,CT,,Materials,0.002019,93.207,31.66
PCHEM,WLS,MK,,Materials,0.002013,2109.895,4.2
CSTM,WLS,UN,,Materials,0.00201,139.709,15.0
ILU,WLS,AT,,Materials,0.002008,425.324,7.51
WAF,WLS,AT,,Materials,0.002,1046.397,3.04
NACL,WLS,IS,,Materials,0.001991,820.966,224.3
4202,WLS,JT,,Materials,0.001979,237.439,1325.5
600096,WLS,C1,,Materials,0.001976,510.437404,28.74
5714,WLS,JT,,Materials,0.001969,57.547,5443.0
CC,WLS,UN,,Materials,0.001947,147.684,13.74
600988,WLS,C1,,Materials,0.001873,465.895186,29.86
NGVT,WLS,UN,,Materials,0.001861,35.926,54.0
688122,WLS,C1,,Materials,0.001856,181.90606,75.78
